Date,Close,High,Low,Open,Volume
2019-01-02,37.46921157836914,37.689871814400156,36.593695596828695,36.750292716540024,148158800
2019-01-03,33.73699951171875,34.57455183641599,33.69191819683805,34.16170590164323,365248800
2019-01-04,35.17720031738281,35.24600976737911,34.11899163910133,34.292195516680664,234428400
2019-01-07,35.09891128540039,35.31245379240385,34.61725948663249,35.28160791885267,219111200
2019-01-08,35.76799392700195,36.0218713099174,35.23888962424999,35.485645667649806,164101200
2019-01-09,36.375396728515625,36.66486270672353,35.502256061427595,35.89611645994749,180396400
2019-01-10,36.491661071777344,36.531996022628334,35.79409559379819,36.18321328363876,143122800
2019-01-11,36.13338851928711,36.46793584598435,35.94832055566885,36.273378795691265,108092800
2019-01-14,35.59004592895508,35.89137599820077,35.40497797975705,35.7917243040485,129756800
2019-01-15,36.31846237182617,36.39438593118797,35.601914999486866,35.65411403047625,114843600
2019-01-16,36.76214599609375,36.98517753374155,36.30184748144305,36.320829274052095,122278800
2019-01-17,36.980430603027344,37.407511879044904,36.363535024290115,36.58656655845522,119284800
2019-01-18,37.208221435546875,37.45972393547824,37.00891435712629,37.36956129572626,135004000
2019-01-22,36.37302017211914,37.18684398361829,36.211676781193205,37.1109204505518,121576000
2019-01-23,36.520137786865234,36.80960382903162,35.99340473442524,36.57470818551413,92522400
2019-01-24,36.230674743652344,36.6530097672651,36.00290042236398,36.56522212472766,101766000
2019-01-25,37.431236267089844,37.519027508765205,36.615040923074886,36.89026785958372,134142000
2019-01-28,37.0848274230957,37.09194514242652,36.458442779137826,36.963818953658674,104768400
2019-01-29,36.70045852661133,37.51903258864824,36.5652182166273,37.07296946155649,166348800
2019-01-30,39.2083740234375,39.42191288765638,38.017292600660475,38.73383999592237,244439200
2019-01-31,39.49072265625,40.098125636928835,39.04465950838577,39.41242410665209,162958400
2019-02-01,39.50970458984375,40.09337942283648,39.36971429863973,39.61410265633867,130672400
2019-02-04,40.631961822509766,40.729242132850885,39.69001181938611,39.72085767886159,125982000
2019-02-05,41.32716369628906,41.54070616529914,40.89296827882337,41.013973143644144,144406400
2019-02-06,41.34141159057617,41.65697719767212,41.011610539919296,41.43868832837846,112958400
2019-02-07,40.55841827392578,41.27021921626802,40.41605663729461,40.904826038437854,126966800
2019-02-08,40.60608673095703,40.665657891479206,40.13189898426392,40.26772297550331,95280000
2019-02-11,40.372554779052734,40.796704677929405,40.329665299757814,40.75857827237781,83973600
2019-02-12,40.72046661376953,40.74667807258698,40.43690727818139,40.53222332657913,89134000
2019-02-13,40.551265716552734,41.099320945808756,40.48931303829851,40.8395916413653,89960800
2019-02-14,40.699005126953125,40.808613992609324,40.3606414751641,40.43927581927432,87342800
2019-02-15,40.60844802856445,40.913451927544514,40.44879783424937,40.80622461923537,98507200
2019-02-19,40.729984283447266,40.85151175450796,40.38685751910222,40.43928042114127,75891200
2019-02-20,40.992103576660156,41.29949277774976,40.74428916750655,40.79194536512053,104457600
2019-02-21,40.760963439941406,41.07311568683924,40.57986845134195,40.93729535437326,68998800
2019-02-22,41.21608352661133,41.223231773038286,40.83721192224632,40.88486811040405,75652800
2019-02-25,41.516319274902344,41.90710582108216,41.44959988672047,41.49964124582385,87493600
2019-02-26,41.5401611328125,41.7712975211783,41.26375008174526,41.39242582162674,68280800
2019-02-27,41.6688346862793,41.69981285361265,41.15890569167824,41.273284939092875,111341600
2019-02-28,41.258975982666016,41.67835919496109,41.20417154412631,41.537772157173244,112861600
2019-03-01,41.692649841308594,41.73553931695009,41.197017519159516,41.52823291281517,103544800
2019-03-04,41.902347564697266,42.35508684168328,41.45437136174755,41.86422115680062,109744800
2019-03-05,41.82609176635742,41.93808580910875,41.590188724744905,41.923789316150554,78949600
2019-03-06,41.58541488647461,41.816551158625686,41.447209430430334,41.621156109618305,83241600
2019-03-07,41.104103088378906,41.56637590196308,40.989727471760084,41.430551903030796,99185600
2019-03-08,41.20179748535156,41.23992389992285,40.38924599998411,40.58464114771072,95997600
2019-03-11,42.629119873046875,42.68154278377652,41.78321232504616,41.8165720286073,128044000
2019-03-12,43.10807418823242,43.52745383687402,42.741113814227916,42.8912342977693,129870400
2019-03-13,43.29869079589844,43.67756238941142,43.11044394955633,43.42736286383217,124130000
2019-03-14,43.78002166748047,43.86818942807558,43.50122916555662,43.82052960680952,94318000
2019-03-15,44.34952163696289,44.63784755758058,43.782406850290364,44.04690286026948,156171600
2019-03-18,44.80226516723633,44.89042929325558,44.270887966592596,44.273273139252964,104879200
2019-03-19,44.44721984863281,45.033401481377794,44.30186611779311,44.880899504425805,126585600
2019-03-20,44.835636138916016,45.15255512807773,44.01831798035479,44.37574491965877,124140800
2019-03-21,46.4869384765625,46.782412668747526,45.228796167797555,45.278837530094265,204136800
2019-03-22,45.52427673339844,47.106486442351226,45.45993886884796,46.54651613890854,169630800
2019-03-25,44.97383117675781,45.7458708587234,44.4639023409663,45.633876819634864,175381200
2019-03-26,44.509178161621094,45.96033411700319,43.98257123970182,45.66962661852125,199202000
2019-03-27,44.909507751464844,45.216893346560575,44.45200166512448,44.9762271618102,119393600
2019-03-28,44.96906661987305,45.169224796190974,44.685507385455566,45.02387105568849,83121600
